federal_district,city
Центральный  ФО,Белгород
Центральный  ФО,Брянск
Центральный  ФО,Владимир
Центральный  ФО,Воронеж
Центральный  ФО,Иваново
Центральный  ФО,Калуга
Центральный  ФО,Кострома
Центральный  ФО,Курск
Центральный  ФО,Липецк
Центральный  ФО,Москва
Центральный  ФО,Москва
Центральный  ФО,Орел
Центральный  ФО,Рязань
Центральный  ФО,Смоленск
Центральный  ФО,Тамбов
Центральный  ФО,Тверь
Центральный  ФО,Тула
Центральный  ФО,Ярославль
Северо-Западный ФО,Архангельск
Северо-Западный ФО,Вологда
Северо-Западный ФО,Калининград
Северо-Западный ФО,Петрозаводск
Северо-Западный ФО,Сыктывкар
Северо-Западный ФО,Санкт-Петербург
Северо-Западный ФО,Мурманск
Северо-Западный ФО,Салехард
Северо-Западный ФО,Великий Новгород
Северо-Западный ФО,Псков
Северо-Западный ФО,Санкт-Петербург
Приволжский ФО,Уфа
Приволжский ФО,Киров
Приволжский ФО,Йошкар-Ола
Приволжский ФО,Саранск
Приволжский ФО,Нижний Новгород
Приволжский ФО,Оренбург
Приволжский ФО,Пенза
Приволжский ФО,Пермь
Приволжский ФО,Самара
Приволжский ФО,Саратов
Приволжский ФО,Казань
Приволжский ФО,Ижевск
Приволжский ФО,Ульяновск
Приволжский ФО,Чебоксары
Уральский ФО,Курган
Уральский ФО,Екатеринбург
Уральский ФО,Тюмень
Уральский ФО,Ханты-Мансийск
Уральский ФО,Челябинск
Уральский ФО,Салехард
Сибирский ФО,Горно-Алтайск
Сибирский ФО,Барнаул
Сибирский ФО,Улан-Удэ
Сибирский ФО,Чита
Сибирский ФО,Иркутск
Сибирский ФО,Кемерово
Сибирский ФО,Красноярск
Сибирский ФО,Новосибирск
Сибирский ФО,Омск
Сибирский ФО,Томск
Сибирский ФО,Кызыл
Сибирский ФО,Абакан
Дальневосточный ФО,Благовещенск
Дальневосточный ФО,Биробиджан
Дальневосточный ФО,Петропавловск-Камчатский
Дальневосточный ФО,Магадан
Дальневосточный ФО,Владивосток
Дальневосточный ФО,Якутск
Дальневосточный ФО,Южно-Сахалинск
Дальневосточный ФО,Хабаровск
Дальневосточный ФО,Анадырь
Южный ФО,Майкоп
Южный ФО,Астрахань
Южный ФО,Волгоград
Южный ФО,Элиста
Южный ФО,Краснодар
Южный ФО,Ростов
Северо-Кавказский ФО,Махачкала
Северо-Кавказский ФО,Магас
Северо-Кавказский ФО,Нальчик
Северо-Кавказский ФО,Черкесск
Северо-Кавказский ФО,Владикавказ
Северо-Кавказский ФО,Ставрополь
Северо-Кавказский ФО,Грозный